,index,vollcode,inwoners,werkzame_personen,studenten,bezoekers,verblijvers,oppervlakte_land_m2,oppervlakte_land_water_m2,verblijvers_ha_2016
0,0,A00,4290.0,7090.18147945206,2626.18623531786,87347.2571449202,101353.62485969,125858.0,171639.0,8053.01409999286
1,1,A01,3981.0,10538.9539726027,555.562723221977,117253.837327188,132329.354023013,334392.0,464302.0,3957.31219715223
2,2,A02,6483.0,6678.07791780822,,34903.0148506373,48064.0927684455,139566.0,258227.0,3443.82534202066
3,3,A03,5455.0,9566.3901369863,,55880.7103890102,70902.1005259965,180643.0,299286.0,3924.98466732707
4,4,A04,9618.0,8260.34104109589,893.260273972603,21806.5758209046,40578.1771359731,370827.0,731065.0,1094.26166746146
5,5,A05,9314.0,5371.51879452055,37.8,31203.6901405011,45927.0089350216,229771.0,500007.0,1998.81660153029
6,6,A06,19408.0,6415.68449315068,225.980097303623,37143.9947526697,63193.659343124,296826.0,400916.0,2128.97991898028
7,7,A07,7352.0,8477.25084931507,429.26301369863,63746.2562338754,80004.7700968891,252101.0,346154.0,3173.52053728026
8,8,A08,7943.0,7100.65983561644,4980.01789830229,8540.99322116528,28564.670955084,288812.0,432340.0,989.040308404222
9,9,A09,12655.0,4041.64515068493,,3979.06020974333,20675.7053604283,429920.0,748589.0,480.919830676132
10,10,B10,200.0,15383.7939726027,196.979801092758,1566.87254794521,17347.6463216407,9365503.0,17635303.0,18.5229200413909
11,11,E12,1044.0,379.481753424658,393.534246575342,1484.34338082192,3301.35938082192,218000.0,829589.0,151.438503707427
12,12,E13,10888.0,2852.55473972603,,5365.85060771847,19106.4053474445,637040.0,681814.0,299.924735455301
13,13,E14,13187.0,2135.50750684932,,5242.25727015543,20564.7647770047,203183.0,255894.0,1012.13018692532
14,14,E15,2501.0,1966.12712328767,342.271232876712,2614.14302054795,7423.54137671233,240343.0,295442.0,308.872793329214
15,15,E16,8496.0,1681.76547945205,422.531506849315,2363.13386607317,12963.4308523745,173372.0,229457.0,747.723441638473
