index,halte,incoming,outgoing,day_numeric,timestamp,lat,lon,geom,vollcode,stadsdeelcode
11757,Dam,18986,24909,1,2017-12-04 17:00:00,52.373371,4.89147822222222,0101000020E6100000A229C6AADF9013402D23F59ECA2F4A40,A01,A
11758,Dam,15659,22442,1,2017-12-04 18:00:00,52.373371,4.89147822222222,0101000020E6100000A229C6AADF9013402D23F59ECA2F4A40,A01,A
39392,Nieuwezijds Kolk,939,556,2,2017-12-05 07:00:00,52.376012,4.8932885,0101000020E610000053927538BA921340A873452921304A40,A01,A
39393,Nieuwezijds Kolk,2245,1291,2,2017-12-05 08:00:00,52.376012,4.8932885,0101000020E610000053927538BA921340A873452921304A40,A01,A
39394,Nieuwezijds Kolk,2152,1242,2,2017-12-05 09:00:00,52.376012,4.8932885,0101000020E610000053927538BA921340A873452921304A40,A01,A
39395,Nieuwezijds Kolk,2221,1354,2,2017-12-05 10:00:00,52.376012,4.8932885,0101000020E610000053927538BA921340A873452921304A40,A01,A
39396,Nieuwezijds Kolk,2805,1580,2,2017-12-05 11:00:00,52.376012,4.8932885,0101000020E610000053927538BA921340A873452921304A40,A01,A
39397,Nieuwezijds Kolk,2791,1881,2,2017-12-05 12:00:00,52.376012,4.8932885,0101000020E610000053927538BA921340A873452921304A40,A01,A
39398,Nieuwezijds Kolk,2935,2154,2,2017-12-05 13:00:00,52.376012,4.8932885,0101000020E610000053927538BA921340A873452921304A40,A01,A
39399,Nieuwezijds Kolk,3269,2637,2,2017-12-05 14:00:00,52.376012,4.8932885,0101000020E610000053927538BA921340A873452921304A40,A01,A
39400,Nieuwezijds Kolk,3466,2955,2,2017-12-05 15:00:00,52.376012,4.8932885,0101000020E610000053927538BA921340A873452921304A40,A01,A
39401,Nieuwezijds Kolk,3995,3069,2,2017-12-05 16:00:00,52.376012,4.8932885,0101000020E610000053927538BA921340A873452921304A40,A01,A
39402,Nieuwezijds Kolk,4215,3527,2,2017-12-05 17:00:00,52.376012,4.8932885,0101000020E610000053927538BA921340A873452921304A40,A01,A
39403,Nieuwezijds Kolk,3342,3164,2,2017-12-05 18:00:00,52.376012,4.8932885,0101000020E610000053927538BA921340A873452921304A40,A01,A
